variable,expression,result
A,A ^ { \nu }, \nu A ^ { \nu - 1 }
B,B ^ { \sigma }, \sigma B ^ { \sigma - 1 }
C,C ^ { f }, f C ^ { f - 1 }
D,D ^ { f }, f D ^ { f - 1 }
E,E ^ { R }, R E ^ { R - 1 }
F,F ^ { \Sigma }, \Sigma F ^ { \Sigma - 1 }
G,G ^ { q }, q G ^ { q - 1 }
H,H ^ { \sigma }, \sigma H ^ { \sigma - 1 }
I,I ^ { p }, p I ^ { p - 1 }
J,J ^ { \pi }, \pi J ^ { \pi - 1 }
K,K ^ { \vartheta }, \vartheta K ^ { \vartheta - 1 }
L,L ^ { f }, f L ^ { f - 1 }
M,M ^ { V }, V M ^ { V - 1 }
N,N ^ { y }, y N ^ { y - 1 }
O,O ^ { \mu }, \mu O ^ { \mu - 1 }
P,P ^ { z }, z P ^ { z - 1 }
Q,Q ^ { Y }, Y Q ^ { Y - 1 }
R,R ^ { n }, n R ^ { n - 1 }
S,S ^ { y }, y S ^ { y - 1 }
T,T ^ { \varepsilon }, \varepsilon T ^ { \varepsilon - 1 }
U,U ^ { H }, H U ^ { H - 1 }
V,V ^ { \Phi }, \Phi V ^ { \Phi - 1 }
W,W ^ { C }, C W ^ { C - 1 }
X,X ^ { \zeta }, \zeta X ^ { \zeta - 1 }
Y,Y ^ { 0 }, 0 Y ^ { 0 - 1 }
Z,Z ^ { \omega }, \omega Z ^ { \omega - 1 }
\Delta,\Delta ^ { n }, n \Delta ^ { n - 1 }
\Gamma,\Gamma ^ { 4 }, 4 \Gamma ^ { 4 - 1 }
\Lambda,\Lambda ^ { \beta }, \beta \Lambda ^ { \beta - 1 }
\Omega,\Omega ^ { \varepsilon }, \varepsilon \Omega ^ { \varepsilon - 1 }
\Phi,\Phi ^ { \gamma }, \gamma \Phi ^ { \gamma - 1 }
\Pi,\Pi ^ { Q }, Q \Pi ^ { Q - 1 }
\Psi,\Psi ^ { \Xi }, \Xi \Psi ^ { \Xi - 1 }
\Sigma,\Sigma ^ { J }, J \Sigma ^ { J - 1 }
\Theta,\Theta ^ { \Phi }, \Phi \Theta ^ { \Phi - 1 }
\Xi,\Xi ^ { \omega }, \omega \Xi ^ { \omega - 1 }
\alpha,\alpha ^ { \delta }, \delta \alpha ^ { \delta - 1 }
\beta,\beta ^ { i }, i \beta ^ { i - 1 }
\chi,\chi ^ { \Phi }, \Phi \chi ^ { \Phi - 1 }
\delta,\delta ^ { \Theta }, \Theta \delta ^ { \Theta - 1 }
\epsilon,\epsilon ^ { O }, O \epsilon ^ { O - 1 }
\eta,\eta ^ { Q }, Q \eta ^ { Q - 1 }
\gamma,\gamma ^ { \phi }, \phi \gamma ^ { \phi - 1 }
\kappa,\kappa ^ { u }, u \kappa ^ { u - 1 }
\lambda,\lambda ^ { \pi }, \pi \lambda ^ { \pi - 1 }
\mu,\mu ^ { \Psi }, \Psi \mu ^ { \Psi - 1 }
\nu,\nu ^ { c }, c \nu ^ { c - 1 }
\omega,\omega ^ { F }, F \omega ^ { F - 1 }
\phi,\phi ^ { \varpi }, \varpi \phi ^ { \varpi - 1 }
\pi,\pi ^ { L }, L \pi ^ { L - 1 }
\psi,\psi ^ { H }, H \psi ^ { H - 1 }
\rho,\rho ^ { v }, v \rho ^ { v - 1 }
\sigma,\sigma ^ { \Omega }, \Omega \sigma ^ { \Omega - 1 }
\tau,\tau ^ { \omega }, \omega \tau ^ { \omega - 1 }
\theta,\theta ^ { 7 }, 7 \theta ^ { 7 - 1 }
\varepsilon,\varepsilon ^ { k }, k \varepsilon ^ { k - 1 }
\varphi,\varphi ^ { \zeta }, \zeta \varphi ^ { \zeta - 1 }
\varpi,\varpi ^ { \Xi }, \Xi \varpi ^ { \Xi - 1 }
\varrho,\varrho ^ { l }, l \varrho ^ { l - 1 }
\vartheta,\vartheta ^ { J }, J \vartheta ^ { J - 1 }
\xi,\xi ^ { f }, f \xi ^ { f - 1 }
\zeta,\zeta ^ { D }, D \zeta ^ { D - 1 }
a,a ^ { U }, U a ^ { U - 1 }
b,b ^ { \Gamma }, \Gamma b ^ { \Gamma - 1 }
c,c ^ {  },  c ^ {  - 1 }
d,d ^ { 2 }, 2 d ^ { 2 - 1 }
e,e ^ { z }, z e ^ { z - 1 }
f,f ^ { J }, J f ^ { J - 1 }
g,g ^ { m }, m g ^ { m - 1 }
h,h ^ { K }, K h ^ { K - 1 }
i,i ^ { R }, R i ^ { R - 1 }
j,j ^ { \kappa }, \kappa j ^ { \kappa - 1 }
k,k ^ { F }, F k ^ { F - 1 }
l,l ^ { U }, U l ^ { U - 1 }
m,m ^ { \Theta }, \Theta m ^ { \Theta - 1 }
n,n ^ { C }, C n ^ { C - 1 }
o,o ^ { \chi }, \chi o ^ { \chi - 1 }
p,p ^ { \varpi }, \varpi p ^ { \varpi - 1 }
q,q ^ { r }, r q ^ { r - 1 }
r,r ^ { \Gamma }, \Gamma r ^ { \Gamma - 1 }
s,s ^ { u }, u s ^ { u - 1 }
t,t ^ { \sigma }, \sigma t ^ { \sigma - 1 }
u,u ^ { 9 }, 9 u ^ { 9 - 1 }
v,v ^ { k }, k v ^ { k - 1 }
w,w ^ { \epsilon }, \epsilon w ^ { \epsilon - 1 }
x,x ^ { P }, P x ^ { P - 1 }
